('Outside Lab 2 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 26, 24.111111111111111, 24.111111111111114, 0.0041290600099686704, array([49, 25, 28, 34, 24, 48, 29, 46, 33, 44], dtype=int64), 360)
('Outside Lab 3 Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 14, 12.65986394557823, 12.65986394557823, 0.1786106060772398, array([15, 19, 19,  9,  6, 20, 15, 15, 12, 17], dtype=int64), 147)
('RTS Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 238, 101.09431620749564, 101.09431620749567, 9.4503727506791576e-18, array([420, 425, 455, 337, 299, 490, 345, 385, 371, 502], dtype=int64), 4029)
('RTS Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 366, 129.96446504441869, 129.96446504441872, 1.2060578224248376e-23, array([568, 504, 631, 404, 439, 601, 438, 506, 449, 638], dtype=int64), 5178)
('Others Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 114, 37.868512110726641, 37.868512110726641, 1.84039909203092e-05, array([184, 179, 195, 149, 138, 214, 139, 159, 171, 206], dtype=int64), 1734)
('Others Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 199, 70.922497308934339, 70.922497308934325, 1.0037095430487999e-11, array([284, 262, 355, 239, 242, 336, 246, 238, 246, 339], dtype=int64), 2787)
('Outside Lab 1 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 17, 29.034364261168378, 29.034364261168381, 0.00063944860781386546, array([32, 36, 43, 23, 19, 42, 15, 25, 22, 34], dtype=int64), 291)
('Outside Lab 2 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 24, 7.2222222222222214, 7.2222222222222223, 0.61399506302925111, array([37, 43, 40, 28, 26, 38, 35, 36, 36, 41], dtype=int64), 360)
('Outside Lab 3 Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 9, 13.884353741496597, 13.8843537414966, 0.1264988663793894, array([17, 14, 15, 24,  8, 13, 14,  8, 15, 19], dtype=int64), 147)
('RTS Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 262, 122.96078431372548, 122.9607843137255, 3.3064205768265905e-22, array([418, 418, 499, 345, 307, 506, 330, 359, 358, 489], dtype=int64), 4029)
('RTS Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 333, 126.83584395519503, 126.83584395519507, 5.3001781218593117e-23, array([554, 488, 634, 419, 409, 600, 442, 518, 477, 637], dtype=int64), 5178)
('Others Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 136, 34.269896193771629, 34.269896193771629, 8.0096309371307638e-05, array([184, 174, 213, 147, 138, 189, 151, 178, 153, 207], dtype=int64), 1734)
('Others Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 178, 81.005023322569073, 81.005023322569073, 1.0202986799614238e-13, array([290, 307, 313, 221, 250, 356, 240, 223, 242, 345], dtype=int64), 2787)
('Outside Lab 1 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 23, 11.920962199312715, 11.920962199312715, 0.21780185084615644, array([21, 22, 38, 28, 21, 31, 29, 33, 31, 37], dtype=int64), 291)
('Outside Lab 2 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 29, 12.722222222222225, 12.722222222222223, 0.17558346609942002, array([51, 39, 24, 32, 35, 41, 30, 35, 36, 37], dtype=int64), 360)
('Outside Lab 3 Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 6, 21.367346938775508, 21.367346938775512, 0.011115521700866444, array([24, 15, 13, 12, 11, 11, 10, 11, 13, 27], dtype=int64), 147)
('RTS Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 266, 99.555472822040201, 99.55547282204023, 1.9353838623124051e-17, array([426, 397, 492, 336, 320, 481, 338, 400, 351, 488], dtype=int64), 4029)
('RTS Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 341, 112.27809965237543, 112.27809965237545, 5.0504907881105137e-20, array([532, 533, 576, 432, 434, 633, 421, 501, 475, 641], dtype=int64), 5178)
('Others Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 117, 33.208765859284888, 33.208765859284888, 0.00012282269566526226, array([192, 186, 197, 146, 134, 196, 158, 157, 160, 208], dtype=int64), 1734)
('Others Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 186, 86.573735199138866, 86.573735199138866, 7.9078815490860628e-15, array([305, 261, 360, 238, 222, 332, 239, 241, 243, 346], dtype=int64), 2787)
('Outside Lab 1 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 24, 13.914089347079038, 13.914089347079038, 0.12541422214758541, array([30, 38, 37, 21, 27, 33, 26, 20, 23, 36], dtype=int64), 291)
('Outside Lab 2 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 25, 18.999999999999996, 19.0, 0.025192895081668946, array([38, 37, 51, 21, 27, 43, 40, 29, 33, 41], dtype=int64), 360)
('Outside Lab 3 Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 8, 22.727891156462583, 22.727891156462587, 0.0068372348699196374, array([19, 11, 21, 10,  7, 16, 10,  9, 25, 19], dtype=int64), 147)
('RTS Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 258, 80.235542318193083, 80.235542318193112, 1.4510507404628798e-13, array([412, 436, 444, 328, 336, 499, 367, 368, 360, 479], dtype=int64), 4029)
('RTS Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 344, 163.35187331015831, 163.3518733101584, 1.4929846923651791e-30, array([562, 524, 644, 443, 410, 637, 413, 456, 447, 642], dtype=int64), 5178)
('Others Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 120, 59.979238754325266, 59.979238754325259, 1.3530849039846313e-09, array([182, 148, 226, 132, 155, 203, 140, 157, 167, 224], dtype=int64), 1734)
